"variable","titre","Formulaire
(par défaut BM)","page","type","Représentation 
(par défaut INPUT TEXT)","Taille de champs de saisie (par défaut identique à Représentation)","valeurs autorisées / modalités","Obligatoire (par défaut OUI) ","Non Modifiable
(par défaut NON)","SOMME","DEPENDANCES","Abrégé (A) / Complet (C) / Les deux (AC) (AC par défaut)","initialisation 
(par défaut aucune)","Nom variable n-1 dans ADRESSE08"
"E132","Usagers – Particuliers – Total adultes Hommes – dont nouveaux inscrits",,"E","Int",10,,,,,,,"AC",,
"E133","Usagers – Particuliers – Total adultes Hommes – dont emprunteurs actifs",,"E","Int",10,,,,,,,"AC",,
"E134","Usagers – Particuliers – Total adultes Femmes – Inscrits actifs",,"E","Int",10,,,,,,,"C",,
"E135","Usagers – Particuliers – Total adultes Femmes – dont nouveaux inscrits",,"E","Int",10,,,,,,,"AC",,
"E136","Usagers – Particuliers – Total adultes Femmes – dont emprunteurs actifs",,"E","Int",10,,,,,,,"AC",,
"E137","Usagers – Particuliers – Total adultes Hommes et Femmes – Inscrits actifs",,"E","Int",10,,,,,,,"C",,
"E138","Usagers – Particuliers – Total adultes Hommes et Femmes – dont nouveaux inscrits",,"E","Int",10,,,,,,,"AC",,
"E139","Usagers – Particuliers – Total adultes Hommes et Femmes – dont emprunteurs actifs",,"E","Int",10,,,,,,,"AC",,
"E140","Usagers – Particuliers – dont résidents dans la commune ou les communes adhérentes au réseau – Inscrits actifs",,"E","Int",10,,,,,,,"C",,
"E141","Usagers – Particuliers – dont résidents dans la commune ou les communes adhérentes au réseau – dont nouveaux inscrits",,"E","Int",10,,,,,,,"AC",,
"E142","Usagers – Particuliers – dont résidents dans la commune ou les communes adhérentes au réseau – dont emprunteurs actifs",,"E","Int",10,,,,,,,"AC",,
"E143","Usagers – Collectivités – dont nouveaux inscrits",,"E","Int",10,,,,,,,"AC",,
"E144","Usagers – Collectivités – dont emprunteurs actifs",,"E","Int",10,,,,,,,"AC",,
"E145","Usagers – Fréquentation : entrées dans l'établissement – Centrale",,"E","Int",10,,,,,,,"C",,
"E146","Usagers – Fréquentation : entrées dans l'établissement – Réseau",,"E","Int",10,,,,,,,"C",,
"E201",,,"E","Int",10,,,,,,,"AC",,
"E202",,,"E","Int",10,,,,,,,"AC",,
"E203",,,"E","Int",10,,,,,,,"AC",,
"E204",,,"E","Int",10,,,,,,,"AC",,
"E205",,,"E","Int",10,,,,,,,"AC",,
"E206",,,"E","Int",10,,,,,,,"AC",,
"E207",,,"E","Int",10,,,,,,,"AC",,
"E208",,,"E","Int",10,,,,,,,"AC",,
"E209",,,"E","Int",10,,,,,,,"C",,
"E210",,,"E","Int",10,,,,,,,"C",,
"E211",,,"E","Int",10,,,,,,,"C",,
"E212",,,"E","Int",10,,,,,,,"C",,
"E213",,,"E","Int",10,,,,,,,"C",,
"E214",,,"E","Int",10,,,,,,,"C",,
"E215",,,"E","Int",10,,,,,,,"C",,
"E216",,,"E","Int",10,,,,,,,"C",,
"E217",,,"E","Int",10,,,,,,,"AC",,
"E218",,,"E","Int",10,,,,,,,"AC",,
"E219",,,"E","Int",10,,,,,,,"AC",,
"E220",,,"E","Int",10,,,,,,,"AC",,
"E221",,,"E","Int",10,,,,,,,"AC",,
"E222",,,"E","Int",10,,,,,,,"AC",,
"E223",,,"E","Int",10,,,,,,,"AC",,
"E224",,,"E","Int",10,,,,,,,"AC",,
"E225",,,"E","Int",10,,,,,,,"C",,
"E226",,,"E","Int",10,,,,,,,"C",,
"E227",,,"E","Int",10,,,,,,,"C",,
"E228",,,"E","Int",10,,,,,,,"C",,
"E229",,,"E","Int",10,,,,,,,"C",,
"E230",,,"E","Int",10,,,,,,,"C",,
"E231",,,"E","Int",10,,,,,,,"C",,
"E232",,,"E","Int",10,,,,,,,"C",,
"E233",,,"E","Int",10,,,,,,,"A",,
"E234",,,"E","Int",10,,,,,,,"A",,
"E235",,,"E","Int",10,,,,,,,"A",,
"E236",,,"E","Int",10,,,,,,,"A",,
"E237",,,"E","Int",10,,,,,,,"A",,
"E238",,,"E","Int",10,,,,,,,"A",,
"E239",,,"E","Int",10,,,,,,,"A",,
"E240",,,"E","Int",10,,,,,,,"A",,
"E301",,,"E","Int",10,,,,,,,"C",,
"E302",,,"E","Int",10,,,,,,,"C",,
"E303",,,"E","Int",10,,,,,,,"C",,
"E304",,,"E","Int",10,,,,,,,"C",,
"E305",,,"E","Int",10,,,,,,,"C",,
"E306",,,"E","Int",10,,,,,,,"C",,
"E307",,,"E","Int",10,,,,,,,"C",,
"E401",,,"E","Int",10,,,,,,,"C",,
"E402",,,"E","Int",10,,,,,,,"C",,
"E403",,,"E","Int",10,,,,,,,"C",,
"E404",,,"E","Int",10,,,,,,,"C",,
"E501",,,"E","Boolean","Radio",,"Oui / Non",,,,,"AC",,
"E502",,,"E","Int",10,,,"N",,,"E501","AC",,
"E503",,,"E","Int",10,,,"N",,,"E501","AC",,
"E504",,,"E","Boolean","Radio",,"Oui / Non",,,,,"AC",,
"E505",,,"E","Int",10,,,"N",,,"E504","AC",,
"E506",,,"E","Int",10,,,"N",,,"E504","AC",,
"E507",,,"E","Boolean","Radio",,"Oui / Non",,,,,"C",,
"E508",,,"E","Int",10,,,"N",,,"E507","C",,
"E509",,,"E","Boolean","Radio",,"Oui / Non",,,,,"C",,
